priority,company,domain,segment_hint,ppai_reported_size_usd_millions,notes
1,Concord Marketing Solutions,concordmarketingsolutions.com,distributor,87,"Entered a March 2025 partnership with Clayton Kendall; still operates its own site/brand from Glendale Heights IL."
2,Stran Promotional Solutions,stran.com,distributor,116,"Domain verified live during pipeline testing."
3,Overture Promotions,overturepromotions.com,distributor,192,"Self-describes as a 'Global Swag Agency'."
4,iPROMOTEu,ipromoteu.com,distributor,372,"NAME_COLLISION: distinct from 'iPromo' (ipromo.com), which is a publicly listed Trelium customer. Do not confuse the two."
5,American Solutions for Business,americanbus.com,distributor,335,"Decentralized/franchise-like model with many regional sub-domains (asbpromoplace.com, asb-ia.com, americanpromo.com, etc). Domain choice is lower-confidence; treat as a research gap if the homepage does not resolve cleanly."
6,BDA,bdainc.com,distributor,551,"Disambiguation: bdainc.com is the promo/branded-merchandise agency (aka Bensussen Deutsch & Associates). NOT bda.com (an unrelated UK talent agency) and NOT 'Bond Dealers of America'."
7,Geiger,geiger.com,distributor,370,"Largest privately held family-owned distributor in the US per PPAI."
8,HH Global,hhglobal.com,distributor,457,"Core business is broader creative production/procurement (UK-headquartered, manages $2B+ spend); promotional products is one line of business per its PPAI listing. Treat segment fit with extra scrutiny."
9,Proforma,proforma.com,distributor,668,"Franchise/independent-owner distributor network model."
10,LeaderPromos,leaderpromos.com,distributor,59,"Woman-owned, B-Corp certified."
11,Nadel,nadel.com,distributor,225,"Formerly 'Jack Nadel International'; rebranded to Nadel in 2022."
12,G&G Outfitters,ggoutfitters.com,distributor,96,"Branded merchandise agency, Lanham MD."
13,HALO,halo.com,distributor,964,"HALO Branded Solutions. Domain verified; do not confuse with unrelated 'halo' products in other industries."
14,Staples Promotional Products,staplespromotionalproducts.com,distributor,930,"Subsidiary of Staples Inc; likely has substantial existing internal automation given parent company scale."
15,4imprint,4imprint.com,distributor,1300,"Very large transaction scale; report flags fit as less certain due to likely existing automation maturity."
16,Hit Promotional Products,hitpromo.net,supplier,733,"Note .net TLD, not .com."
17,Goldstar,simplygoldstar.com,supplier,98,"Domain verified: NOT the intuitive 'goldstarco.com' guess. Rebranded around 2025; owned by Cimpress. Supplier of pens, drinkware, bags."
18,Showdown Displays,showdowndisplays.com,supplier,150,""
19,Ariel Premium Supply,arielpremium.com,supplier,131,""
20,The Magnet Group,themagnetgroup.com,supplier,130,"World's largest manufacturer of promotional magnets, 6 brands under one group."
21,Hirsch,hirschpromo.com,supplier,59,"Disambiguation: hirschpromo.com is the promo-products supplier (formerly 'Hirsch Gift'). NOT hirsch.com (Hirsch Pipe & Supply, an unrelated plumbing company)."
22,Ball Pro,ballpro.com,supplier,43,"Golf-focused supplier (golf balls, apparel); domain confirmed distinct from unrelated 'ball' brands."
23,High Caliber Line,highcaliberline.com,supplier,50,"Also operates highcaliberline.net; .com used as primary."
24,Koozie Group,kooziegroup.com,supplier,358,"Formerly BIC Graphic; owns the Koozie(R), Coleman, Leatherman promotional lines."
25,Gemline,gemline.com,supplier,143,"Reincorporated as a public benefit corporation in 2024; weaker recent PPAI growth per the report -> efficiency angle over growth angle."
26,Logomark,logomark.com,supplier,131,""
27,SnugZ USA,snugzusa.com,supplier,92,"Report notes recent contraction -> cost/efficiency angle, not growth angle."
28,PCNA,pcna.com,supplier,667,"Polyconcept North America; operates Trimark, Leed's, Bullet, JournalBooks, ETS Express, Spoke Custom sub-brands."
29,S&S Activewear,ssactivewear.com,supplier,5000,"ECOSYSTEM_AMBIGUOUS: Trelium already integrates S&S product/inventory data into customer workflows per its own published content. Treat as possible ecosystem/integration partner, not a cold prospect, until checked internally."
30,SanMar,sanmar.com,supplier,5000,"ECOSYSTEM_AMBIGUOUS: Trelium already integrates SanMar product/inventory data into customer workflows per its own published content. Treat as possible ecosystem/integration partner, not a cold prospect, until checked internally."
